[PROP/wald] K=1  FRcrit_avg=0.02176926  conf=0.99  steps=1  n=1522
half_norm=0.00963565  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=3407872
EP_control=wald  E_wald_final=0.00963565
Wald_CI(99%):   [0.01213361, 0.03140491]   half=0.00963565   se=0.00374055   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11420898 (n=1522)
injections_used=1522  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07178568495400789, 0.14356880338370565, 0.09003110627463863, 0.1073371796977661, 0.0828191729632063, 0.08644567181340342, 0.12744589766754272, 0.0927105576544021, 0.08585023817345598, 0.11200568741787122] Δmax = 0.005 KL = 0.001 TV = 0.013 H_baseline = 2.277 H_global = 2.281 ΔH = -0.004 BER = 0.0213 per_class = [0.013101955631135503, 0.014951876975530064, 0.017882648688796205, 0.013116270015087361, 0.013534822601839684, 0.01445466491458607, 0.01576872536136662, 0.05064388961892247, 0.014992235097359934, 0.04421813403416557] agree = 0.978 flip_asym = 0.684

[E_seq] n, E_wald
664,0.01513514
1522,0.00963565

[E_final] E_wald=0.00963565

Top-100 worst injections (proposed iter EP)
  1) Inj   1138 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch4.1.conv [56, 46, 0, 0] bit 30
 88) Inj    919 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [34, 626, 0, 0] bit 14
 89) Inj   1221 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [85, 778, 0, 0] bit 27
 90) Inj    819 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [32, 309, 0, 0] bit 11
 91) Inj    971 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [32, 345, 0, 0] bit 19
 92) Inj    998 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [67, 517, 0, 0] bit 12
 93) Inj    862 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [118, 671, 0, 0] bit 10
 94) Inj   1151 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [70, 467, 0, 0] bit 14
 95) Inj   1239 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [112, 509, 0, 0] bit 15
 96) Inj    872 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [45, 608, 0, 0] bit 4
 97) Inj   1152 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [14, 212, 0, 0] bit 16
 98) Inj   1219 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [32, 473, 0, 0] bit 28
 99) Inj   1045 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [11, 441, 0, 0] bit 19
100) Inj   1069 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch4.1.conv [43, 554, 0, 0] bit 28
