[PROP/wald] K=1  FRcrit_avg=0.02245368  conf=0.99  steps=2  n=1481
half_norm=0.00991701  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=442368
EP_control=wald  E_wald_final=0.00991701
Wald_CI(99%):   [0.01253667, 0.03237070]   half=0.00991701   se=0.00384977   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11416612 (n=1481)
injections_used=1481  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06836860651586765, 0.15873459655638084, 0.08788139348413235, 0.10387037896691424, 0.07998449105334234, 0.0843707798784605, 0.12655616981769074, 0.0925921041525996, 0.08576341998649561, 0.11187805958811614] Δmax = 0.014 KL = 0.001 TV = 0.018 H_baseline = 2.277 H_global = 2.273 ΔH = 0.004 BER = 0.0228 per_class = [0.01823092505064146, 0.0013686880668649743, 0.02184188122009218, 0.01823092505064146, 0.01823092505064146, 0.01823092505064146, 0.01823092505064146, 0.05185685347738015, 0.016819102571972253, 0.045307224848075624] agree = 0.978 flip_asym = 0.982

[E_seq] n, E_wald
664,0.01391732
1287,0.01072434
1481,0.00991701

[E_final] E_wald=0.00991701

Top-100 worst injections (proposed iter EP)
  1) Inj    835 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4c.branch3.1.conv [61, 16, 1, 2] bit 30
 60) Inj    998 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [46, 10, 1, 0] bit 3
 61) Inj   1005 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [61, 12, 1, 2] bit 22
 62) Inj    525 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [21, 23, 1, 2] bit 13
 63) Inj    784 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [3, 7, 0, 1] bit 15
 64) Inj    755 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [18, 9, 2, 2] bit 1
 65) Inj    819 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [61, 8, 2, 2] bit 30
 66) Inj    811 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [46, 4, 1, 1] bit 30
 67) Inj    864 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [51, 1, 1, 0] bit 9
 68) Inj    516 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [56, 21, 0, 0] bit 27
 69) Inj    419 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [19, 16, 2, 0] bit 13
 70) Inj    862 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [2, 11, 0, 0] bit 25
 71) Inj    877 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [47, 9, 1, 0] bit 24
 72) Inj    512 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [4, 23, 2, 1] bit 20
 73) Inj   1145 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [45, 14, 2, 2] bit 3
 74) Inj    869 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [1, 2, 1, 1] bit 17
 75) Inj    713 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [57, 22, 0, 2] bit 15
 76) Inj   1224 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [38, 15, 0, 0] bit 28
 77) Inj    382 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [7, 10, 0, 0] bit 3
 78) Inj   1069 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [44, 13, 1, 0] bit 2
 79) Inj   1283 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [13, 0, 0, 2] bit 4
 80) Inj    919 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [2, 16, 0, 2] bit 25
 81) Inj   1219 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [38, 0, 2, 1] bit 13
 82) Inj    566 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [15, 0, 1, 0] bit 17
 83) Inj   1012 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [20, 5, 0, 1] bit 29
 84) Inj    620 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [39, 4, 0, 2] bit 25
 85) Inj   1221 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [60, 7, 0, 2] bit 0
 86) Inj   1068 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [46, 15, 2, 2] bit 6
 87) Inj   1054 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [41, 19, 1, 0] bit 12
 88) Inj    756 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [56, 9, 2, 2] bit 9
 89) Inj    822 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [58, 23, 0, 1] bit 28
 90) Inj   1138 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [34, 2, 2, 2] bit 8
 91) Inj   1168 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [21, 7, 0, 1] bit 13
 92) Inj   1141 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [30, 5, 1, 1] bit 29
 93) Inj    940 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [51, 4, 1, 2] bit 19
 94) Inj    971 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [34, 22, 2, 2] bit 19
 95) Inj   1151 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [46, 20, 2, 0] bit 4
 96) Inj   1239 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [22, 6, 0, 2] bit 17
 97) Inj   1152 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [59, 0, 0, 1] bit 13
 98) Inj    872 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [21, 7, 2, 2] bit 4
 99) Inj   1045 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [8, 15, 1, 0] bit 11
100) Inj   1021 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch3.1.conv [40, 12, 2, 0] bit 14
