[PROP/wald] K=1  FRcrit_avg=0.02329582  conf=0.99  steps=1  n=1737
half_norm=0.00932323  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=3538944
EP_control=wald  E_wald_final=0.00932323
Wald_CI(99%):   [0.01397259, 0.03261905]   half=0.00932323   se=0.00361927   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11988669 (n=1737)
injections_used=1737  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06834925518134716, 0.14598850388601037, 0.10169293321819228, 0.10392154217040875, 0.0799015903857225, 0.08475685449050087, 0.1265337147380541, 0.09263457109959701, 0.08434756404720783, 0.11187347078295913] Δmax = 0.012 KL = 0.001 TV = 0.017 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0230 per_class = [0.018456432659419552, 0.01428371376557905, 0.00841030262071037, 0.018529179726646625, 0.018451352907311456, 0.017925367666300308, 0.018457458871966644, 0.05142199194012666, 0.018501072905217984, 0.04542314335060449] agree = 0.977 flip_asym = 0.930

[E_seq] n, E_wald
664,0.01617127
1737,0.00932323

[E_final] E_wald=0.00932323

Top-100 worst injections (proposed iter EP)
  1) Inj    804 | FRcrit=0.917969 | maj=5@0.61 Δmax=0.520 KL=1.766 | inception3a.branch2.1.conv [52, 15, 0, 2] bit 30
 57) Inj    459 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [22, 64, 0, 0] bit 8
 58) Inj    464 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [83, 19, 2, 1] bit 29
 59) Inj    516 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [113, 72, 2, 0] bit 28
 60) Inj   1005 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [123, 5, 0, 0] bit 19
 61) Inj    872 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [42, 63, 0, 2] bit 0
 62) Inj    512 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [9, 94, 2, 1] bit 2
 63) Inj    877 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [94, 75, 1, 0] bit 1
 64) Inj    529 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [88, 70, 0, 0] bit 17
 65) Inj    618 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [121, 34, 0, 0] bit 15
 66) Inj    566 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [30, 3, 0, 1] bit 10
 67) Inj    798 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [30, 25, 2, 0] bit 0
 68) Inj    692 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [40, 38, 2, 0] bit 15
 69) Inj    755 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [36, 79, 0, 1] bit 13
 70) Inj    751 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [59, 64, 1, 2] bit 20
 71) Inj   1054 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [83, 59, 0, 0] bit 0
 72) Inj    819 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [122, 71, 2, 2] bit 18
 73) Inj    489 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [127, 53, 2, 0] bit 21
 74) Inj    919 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [5, 34, 1, 1] bit 8
 75) Inj    811 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [92, 36, 1, 0] bit 19
 76) Inj    862 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [4, 88, 2, 0] bit 15
 77) Inj    477 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [45, 87, 2, 2] bit 20
 78) Inj   1138 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [68, 23, 1, 0] bit 0
 79) Inj    822 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [117, 89, 2, 0] bit 0
 80) Inj    620 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [78, 34, 1, 1] bit 10
 81) Inj   1221 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [120, 57, 2, 1] bit 2
 82) Inj   1239 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [44, 50, 0, 2] bit 8
 83) Inj   1045 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [17, 26, 2, 2] bit 25
 84) Inj    535 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [55, 84, 0, 1] bit 30
 85) Inj    998 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [92, 82, 2, 0] bit 28
 86) Inj   1219 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [76, 6, 1, 2] bit 12
 87) Inj   1021 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [81, 5, 2, 0] bit 22
 88) Inj    971 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [69, 87, 1, 2] bit 27
 89) Inj   1012 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [40, 41, 2, 0] bit 10
 90) Inj    869 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [2, 20, 0, 0] bit 12
 91) Inj    864 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [102, 10, 2, 2] bit 10
 92) Inj   1151 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [93, 69, 1, 1] bit 5
 93) Inj   1168 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [42, 57, 0, 2] bit 8
 94) Inj   1068 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [93, 31, 0, 2] bit 21
 95) Inj    940 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [102, 36, 2, 2] bit 26
 96) Inj   1069 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [89, 10, 2, 0] bit 23
 97) Inj   1224 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [77, 24, 2, 1] bit 1
 98) Inj   1145 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [91, 23, 0, 1] bit 27
 99) Inj   1141 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [60, 44, 1, 0] bit 13
100) Inj   1152 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3a.branch2.1.conv [118, 1, 0, 2] bit 15
